communication_code,letter_code,timing,regulatory,source,priority,communication_subtype,document_description,letter_description
ART-SFO00080-0059,ART-SFO00080-0059,Subsequent,No,RevSpring,Medium,Email,SFO00080_Email.docx,Email - Subsequent Non-Regulatory
ART-SFO00090-0060,ART-SFO00090-0060,Subsequent,No,RevSpring,Medium,Email,SFO00090_Email.docx,Email - Subsequent Non-Regulatory
ART-SFO00095-0061,ART-SFO00095-0061,Subsequent,No,RevSpring,Medium,Email,SFO00095_Email.docx,Email - Subsequent Non-Regulatory
ART-SFO00P15-0062,ART-SFO00P15-0062,Subsequent,No,RevSpring,Medium,Email,SFO00P15_Email.docx,Email - Subsequent Non-Regulatory
ART-SFO00P34-0063,ART-SFO00P34-0063,Subsequent,No,RevSpring,Medium,Email,SFO00P34_Email.docx,Email - Subsequent Non-Regulatory
ART-SFO12P01-0064,ART-SFO12P01-0064,Subsequent,No,RevSpring,Medium,Email,SFO12P01_Email.docx,Email - Subsequent Non-Regulatory
ART-SFO3P001-0065,ART-SFO3P001-0065,Subsequent,No,RevSpring,Medium,Email,SFO3P001_Email.docx,Email - Subsequent Non-Regulatory
ART-SFO48P15-0066,ART-SFO48P15-0066,Subsequent,No,RevSpring,Medium,Email,SFO48P15_Email.docx,Email - Subsequent Non-Regulatory
ART-SFO48P34-0067,ART-SFO48P34-0067,Subsequent,No,RevSpring,Medium,Email,SFO48P34_Email.docx,Email - Subsequent Non-Regulatory
ART-SFO6P001-0068,ART-SFO6P001-0068,Subsequent,No,RevSpring,Medium,Email,SFO6P001_Email.docx,Email - Subsequent Non-Regulatory
ART-SFO9P001-0069,ART-SFO9P001-0069,Subsequent,No,RevSpring,Medium,Email,SFO9P001_Email.docx,Email - Subsequent Non-Regulatory
ART-SFOCO001-0070,ART-SFOCO001-0070,Subsequent,No,RevSpring,Medium,Email,SFOCO001_Email.docx,Email - Subsequent Non-Regulatory
ART-SFOCO040-0071,ART-SFOCO040-0071,Subsequent,No,RevSpring,Medium,Email,SFOCO040_Email.docx,Email - Subsequent Non-Regulatory
ART-SFP00001-0072,ART-SFP00001-0072,Subsequent,No,RevSpring,Medium,Email,SFP00001_Email.docx,Email - Subsequent Non-Regulatory
ART-SGN00001-0073,ART-SGN00001-0073,Subsequent,No,RevSpring,Medium,Email,SGN00001_Email.docx,Email - Subsequent Non-Regulatory
ART-EM000001SP-0074,ART-EM000001SP-0074,Subsequent,No,RevSpring,Medium,Email,EM000001SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-EM000002SP-0075,ART-EM000002SP-0075,Subsequent,No,RevSpring,Medium,Email,EM000002SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-EM000007SP-0076,ART-EM000007SP-0076,Subsequent,No,RevSpring,Medium,Email,EM000007SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-EM000012SP-0077,ART-EM000012SP-0077,Subsequent,No,RevSpring,Medium,Email,EM000012SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-EM000014SP-0078,ART-EM000014SP-0078,Subsequent,No,RevSpring,Medium,Email,EM000014SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-EM000017SP-0079,ART-EM000017SP-0079,Subsequent,No,RevSpring,Medium,Email,EM000017SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-EM000024SP-0080,ART-EM000024SP-0080,Subsequent,No,RevSpring,Medium,Email,EM000024SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-EM000025SP-0081,ART-EM000025SP-0081,Subsequent,No,RevSpring,Medium,Email,EM000025SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-EM000027SP-0082,ART-EM000027SP-0082,Subsequent,No,RevSpring,Medium,Email,EM000027SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-EM000029SP-0083,ART-EM000029SP-0083,Subsequent,No,RevSpring,Medium,Email,EM000029SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-EM000031SP-0084,ART-EM000031SP-0084,Subsequent,No,RevSpring,Medium,Email,EM000031SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-EM000032SP-0085,ART-EM000032SP-0085,Subsequent,No,RevSpring,Medium,Email,EM000032SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-NCN00001SP-0086,ART-NCN00001SP-0086,Subsequent,No,RevSpring,Medium,Email,NCN00001SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-PFP00001SP-0087,ART-PFP00001SP-0087,Subsequent,No,RevSpring,Medium,Email,PFP00001SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-SCN00001SP-0088,ART-SCN00001SP-0088,Subsequent,No,RevSpring,Medium,Email,SCN00001SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-SFGOT003SP-0089,ART-SFGOT003SP-0089,Subsequent,No,RevSpring,Medium,Email,SFGOT003SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-SFO00001SP-0090,ART-SFO00001SP-0090,Subsequent,No,RevSpring,Medium,Email,SFO00001SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-SFO00045SP-0091,ART-SFO00045SP-0091,Subsequent,No,RevSpring,Medium,Email,SFO00045SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-SFO00050SP-0092,ART-SFO00050SP-0092,Subsequent,No,RevSpring,Medium,Email,SFO00050SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-SFO00055SP-0093,ART-SFO00055SP-0093,Subsequent,No,RevSpring,Medium,Email,SFO00055SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-SFO00060SP-0094,ART-SFO00060SP-0094,Subsequent,No,RevSpring,Medium,Email,SFO00060SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-SFP00001SP-0095,ART-SFP00001SP-0095,Subsequent,No,RevSpring,Medium,Email,SFP00001SP_Email.docx,Email - Subsequent Non-Regulatory Spanish
ART-PDR00001-0096,ART-PDR00001-0096,Subsequent,Yes,RevSpring,Medium,Email,PDR00001_Email.docx,Email - Subsequent Regulatory
